Listagem de Distribuidoras 2009 a 2019;;;;;;;;;;;
;;;;;;;;;;;
Ano de exibição;Distribuidora;Número de Registro Ancine;Origem da empresa distribuidora;Público;Público Filmes Brasileiros;Renda (R$);Renda Filmes Brasileiros (R$);Títulos Exibidos;Títulos Brasileiros Exibidos;Títulos Lançados;Títulos Brasileiros Lançados
2009;Portfolium Laboratório de Imagens;14495;Distribuição Nacional;221;221;1.863,00;1.863;1;1;1;1
2009;Prana Filmes;1226;Distribuição Nacional;2.313;2.313;23.001,98;23.002;1;1;1;1
2009;Raiz Distribuidora;11792;Distribuição Nacional;318;318;954;954;1;1;0;0
2009;Rec Produtores;408;Distribuição Nacional;736;736;2.616,00;2.616;1;1;1;1
2009;República Pureza;1036;Distribuição Nacional;3.546;3.546;31.690,00;31.690;1;1;1;1
2009;RioFilme;105;Distribuição Nacional;2.971;2.971;14.113,77;14.114;7;7;1;1
2009;Sereia Filmes;13753;Distribuição Nacional;2.650;2.650;15.022,15;15.022;1;1;1;1
2009;Serendip;4626;Distribuição Nacional;556;0;4.305,00;0;1;0;0;0
2009;Serendip/Art Films;4626/98;Distribuição Nacional;21.603;21.603;180.751,02;180.751;1;1;1;1
2009;Sony;84;Distribuição Internacional;28.257.224;1.215.036;247.728.888,70;8.561.300;68;15;37;2
2009;Sony/Downtown;84/4904;Codistribuição Internacional-Nacional;316.077;316.077;2.640.159,02;2.640.159;1;1;1;1
2009;Superfilmes;125;Distribuição Nacional;6.784;6.784;98.555,50;98.556;1;1;1;1
2009;T.A.O. Produções Artisticas;1049;Distribuição Nacional;609;609;3.887,00;3.887;1;1;1;1
2009;Universal;169/84/33787;Distribuição Internacional;6.517.331;194.577;58.695.713,00;1.531.976;25;5;19;3
2009;Usina Digital;4591;Distribuição Nacional;2.487;2.487;13.227,50;13.228;3;3;0;0
2009;Videofilmes;276;Distribuição Nacional;38.980;38.794;307.378,51;306.338;10;8;3;3
2009;Warner;265;Distribuição Internacional;13.202.890;2.514.362;112.711.984,00;21.645.428;20;4;12;2
2009;Youle Filmes;306;Distribuição Nacional;19;19;186;186;1;1;1;1
2010;Ab Filmes;136;Distribuição Nacional;50.788;0;481.645,78;0;4;0;4;0
2010;Accorde Audiovisuais;1403;Distribuição Nacional;73.756;73.756;285.684,55;285.685;2;2;2;2
2010;Anavilhana;5313;Distribuição Nacional;818;818;6.679,40;6.679;2;2;2;2
2010;Bonfilm;14462;Distribuição Nacional;4.703;0;42.963,90;0;1;0;1;0
2010;Bras Filmes;319;Distribuição Nacional;24.149;24.149;176.323,29;176.323;1;1;1;1
2010;Caliban;854;Distribuição Nacional;9.572;9.572;74.824,88;74.825;1;1;1;1
2010;Califórnia;532;Distribuição Nacional;1.739.932;0;16.422.619,15;0;16;0;10;0
2010;Casa Azul;2260;Distribuição Nacional;49;49;236;236;1;1;0;0
2010;Ciclorama Filmes;17471;Distribuição Nacional;7.431;7.431;60.280,74;60.281;1;1;1;1
2010;Cinegrama;4965;Distribuição Nacional;34;34;183,5;184;1;1;0;0
2010;Copacabana Filmes;506;Distribuição Nacional;1.496;1.496;13.908,00;13.908;1;1;1;1
2010;Downtown;4904;Distribuição Nacional;14.823;14.823;79.075,00;79.075;5;5;1;1
2010;Downtown/Europa;4904/2250;Distribuição Nacional;848.494;848.494;7.065.555,90;7.065.556;1;1;1;1
2010;Downtown/Paris;4904/11922;Distribuição Nacional;447.822;447.822;3.711.269,20;3.711.269;1;1;0;0
2010;Downtown/RioFilme;4904/105;Distribuição Nacional;27.382;27.382;218.374,42;218.374;3;3;1;1
2010;Downtown/Videofilmes;4904/276;Distribuição Nacional;1.328;1.328;6.567,00;6.567;1;1;0;0
2010;Espaço Filmes;1083;Distribuição Nacional;86.964;86.964;763.358,01;763.358;9;9;9;9
2010;Espaço Itaú de Cinema;14006;Distribuição Nacional;8.601;0;165.283,50;0;1;0;1;0
2010;Europa;2250;Distribuição Nacional;637.851;112.320;6.083.130,16;877.596;24;7;13;5
2010;Europa/RioFilme;2250/105;Distribuição Nacional;1.459.323;1.459.323;12.671.167,31;12.671.167;3;3;2;2
2010;Filmes da Mostra;1797/29957;Distribuição Nacional;116.134;0;1.075.885,32;0;13;0;5;0
2010;Filmes do Estação;592;Distribuição Nacional;26.266;293;233.472,65;2.486;7;2;0;0
2010;Filmes do Rio de Janeiro;1517;Distribuição Nacional;453;453;3.955,71;3.956;1;1;1;1
2010;Fox;256;Distribuição Internacional;25.081.393;4.171.459;232.613.226,00;36.906.484;32;7;18;3
2010;G7 Cinema;5341;Distribuição Nacional;36.138;36.138;355.801,48;355.801;3;3;3;3
2010;Gávea Filmes e Produções;7128;Distribuição Nacional;1.036;1.036;5.304,50;5.305;1;1;1;1
2010;Idéia Forte;15995;Distribuição Nacional;929;929;8.588,00;8.588;1;1;1;1
2010;Imagem;1935;Distribuição Nacional;4.318.689;43.505;41.399.022,73;340.245;40;4;30;2
2010;Imovision;11868/173;Distribuição Nacional;714.197;32.077;6.780.813,44;310.011;54;7;28;2
2010;M. Schmiedt Produções;983;Distribuição Nacional;2.115;2.115;10.253,00;10.253;1;1;1;1
2010;Miração Filmes;1860;Distribuição Nacional;73;73;276;276;1;1;0;0
2010;Moro Comunicação;5224;Distribuição Nacional;1.205;1.205;6.908,00;6.908;1;1;1;1
2010;Moviemobz;13613;Distribuição Nacional;10.741;1.589;178.735,60;14.322;9;2;3;1
2010;Moviemobz/RioFilme;13613/105;Distribuição Nacional;2.667;2.667;23.410,00;23.410;3;3;0;0
2010;Panda Filmes;941;Distribuição Nacional;16.843;12.806;64.633,02;33.090;4;1;0;0
2010;Pandora Filmes;12443/333;Distribuição Nacional;126.478;14.740;1.084.352,72;107.210;32;5;9;2
2010;Paramount;169;Distribuição Internacional;19.343.121;390.346;185.576.728,00;3.483.041;13;2;13;2
2010;Paris;11922;Distribuição Nacional;8.938.884;433;77.483.672,51;4.066;34;1;24;1
2010;Pipa Produções;5467;Distribuição Nacional;2.679;1.489;9.833,50;3.734;4;3;1;0
2010;Playarte;443;Distribuição Nacional;4.499.544;1.248.097;39.394.612,94;8.337.524;35;4;25;2
2010;Polifilmes;2550;Distribuição Nacional;4.233;4.063;32.207,45;30.934;5;4;3;3
2010;Raiz Distribuidora;11792;Distribuição Nacional;57.443;57.443;172.111,70;172.112;5;5;0;0
2010;Santa Fé Filmes;782;Distribuição Nacional;1.661;1.661;14.122,00;14.122;1;1;1;1
2010;Sereia Filmes;13753;Distribuição Nacional;73;73;171;171;1;1;0;0
2010;Serendip;4626;Distribuição Nacional;39.226;0;345.126,52;0;6;0;6;0
2010;Sony;84;Distribuição Internacional;26.984.602;1.548.962;257.809.217,66;12.620.518;63;13;33;4
2010;Sony/Downtown;84/4904;Codistribuição Internacional-Nacional;3.414.241;3.414.241;30.283.798,77;30.283.799;2;2;1;1
2010;Sony/RioFilme;84/105;Codistribuição Internacional-Nacional;155.744;155.744;1.350.474,16;1.350.474;1;1;1;1
2010;Símio Filmes;14208;Distribuição Nacional;1.809;1.809;9.312,00;9.312;1;1;1;1
2010;T.A.O. Produções Artisticas;1049;Distribuição Nacional;879;879;2.178,00;2.178;1;1;0;0
2010;TV Zero Cinema;4586;Distribuição Nacional;ND;ND;ND;ND;1;1;1;1
2010;Universal;169/84/33787;Distribuição Internacional;7.002.618;0;65.781.012,00;0;17;0;12;0
2010;Usina Digital;4591;Distribuição Nacional;1.805;1.805;12.227,75;12.228;1;1;1;1
2010;Vega Filmes;11995;Distribuição Nacional;85;85;908;908;1;1;1;1
2010;Videofilmes;276;Distribuição Nacional;89.087;89.087;817.308,91;817.309;5;5;4;4
2010;Vitrine Filmes;16713;Distribuição Nacional;2.368;2.368;14.778,71;14.779;3;3;2;2
2010;Walper Ruas;1572;Distribuição Nacional;2.822;2.822;21.042,50;21.043;1;1;1;1
2010;Warner;265;Distribuição Internacional;17.072.980;8.971;164.502.240,37;73.412;25;4;18;1
2010;Warner/RioFilme;265/105;Codistribuição Internacional-Nacional;296.739;296.739;2.246.886,00;2.246.886;1;1;1;1
2010;Zazen;611;Distribuição Nacional;11.023.475;11.023.475;102.320.114,16;102.320.114;1;1;1;1
2011;Ab Filmes;136;Distribuição Nacional;35.255;0;353.514,15;0;6;0;3;0
2011;Ab Filmes/Festival Filmes;136/16538;Distribuição Nacional;4.268;4.268;43.090,91;43.091;1;1;1;1
2011;Accorde Audiovisuais;1403;Distribuição Nacional;16.611;16.611;46.176,00;46.176;1;1;0;0
2011;Activity Filmes;309;Distribuição Nacional;2.070;0;16.135,79;0;1;0;1;0
2011;Art Films;98;Distribuição Nacional;237;0;1.435,00;0;1;0;0;0
2011;Bonfilm;14462;Distribuição Nacional;10.110;0;93.444,58;0;2;0;1;0
2011;Bras Filmes;319;Distribuição Nacional;1.330;1.330;3.198,00;3.198;1;1;0;0
2011;Business Telecom;17673;Distribuição Nacional;798;798;3.958,00;3.958;1;1;1;1
2011;Caliban;854;Distribuição Nacional;54;54;650,35;650;1;1;0;0
2011;Califórnia;532;Distribuição Nacional;1.362.456;136;15.627.702,78;885;18;1;13;1
2011;Camisa Treze;4369;Distribuição Nacional;2.897;2.897;30.576,50;30.577;1;1;1;1
2011;Carioca;1442;Distribuição Nacional;173;173;1.415,00;1.415;1;1;1;1
2011;Cazion Films Brasil;31096;Distribuição Nacional;ND;ND;ND;ND;1;0;1;0
2011;Ciclorama Filmes;17471;Distribuição Nacional;ND;ND;ND;ND;1;1;1;1
2011;Cinemark Brasil;1843;Distribuição Nacional;30.619;21.842;429.087,00;291.939;2;1;2;1
2011;Copacabana Filmes;506;Distribuição Nacional;21.261;21.261;180.122,67;180.123;3;3;1;1
2011;Disney;18398;Distribuição Internacional;12.424.433;1.194.628;126.700.553,84;10.742.239;12;1;10;1
2011;Downtown;4904;Distribuição Nacional;89.694;89.694;777.142,59;777.143;4;4;4;4
2011;Downtown/Europa;4904/2250;Distribuição Nacional;239;239;478;478;1;1;0;0
2011;Downtown/Paris;4904/11922;Distribuição Nacional;3.058.730;3.058.730;27.322.509,56;27.322.510;1;1;1;1
2011;Downtown/Paris/RioFilme;4904/11922/105;Distribuição Nacional;2.959.460;2.959.460;28.030.183,67;28.030.184;1;1;1;1
2011;Downtown/RioFilme;4904/105;Distribuição Nacional;413.851;413.851;3.355.752,35;3.355.752;3;3;3;3
2011;Enquadramento Produções;16352;Distribuição Nacional;56;56;353;353;1;1;1;1
2011;Esfera Produções;18039;Distribuição Nacional;33.590;0;372.248,21;0;2;0;2;0
2011;Espaço Filmes;1083;Distribuição Nacional;77.747;77.747;780.650,87;780.651;11;11;9;9
2011;Espaço Itaú de Cinema;14006;Distribuição Nacional;11.699;0;226.914,00;0;2;0;1;0
2011;Europa;2250;Distribuição Nacional;116.148;35.132;1.069.736,19;261.338;18;6;6;2
2011;Europa/RioFilme;2250/105;Distribuição Nacional;143.128;143.128;1.163.340,59;1.163.341;2;2;0;0
2011;F.J. Vídeo;12132;Distribuição Nacional;557;0;1.206,00;0;3;0;2;0
2011;Filmes da Mostra;1797/29957;Distribuição Nacional;43.045;0;418.886,36;0;12;0;3;0
2011;Filmes do Estação;592;Distribuição Nacional;80.468;74.976;705.672,47;650.883;8;2;4;2
2011;Formosa Filmes;16462;Distribuição Nacional;1.370;1.370;11.170,55;11.171;1;1;1;1
2011;Fox;256;Distribuição Internacional;22.750.838;2.186.037;238.408.891,40;20.563.568;29;7;21;4
2011;Gávea Filmes e Produções;7128;Distribuição Nacional;4.040;4.040;29.158,70;29.159;2;2;1;1
2011;Imagem;1935;Distribuição Nacional;9.422.035;1.720.421;96.068.303,88;15.878.618;43;9;30;7
2011;Imagem/RioFilme;1935/105;Distribuição Nacional;2.176.999;2.176.999;20.038.362,43;20.038.362;1;1;1;1
2011;Imovision;11868/173;Distribuição Nacional;1.011.382;42.194;10.682.235,88;466.903;62;7;31;2
2011;Leão Filmes;346;Distribuição Nacional;8.088;8.088;13.509,50;13.510;1;1;1;1
2011;Lume Produções Cinematográficas;11990;Distribuição Nacional;24.661;0;217.873,11;0;6;0;6;0
2011;Miração Filmes;1860;Distribuição Nacional;828;828;3.201,59;3.202;1;1;1;1
2011;Mobz;19119;Distribuição Nacional;47.314;0;905.526,44;0;2;0;2;0
2011;Okna Produções;11871;Distribuição Nacional;ND;ND;ND;ND;1;1;1;1
2011;Panda Filmes;941;Distribuição Nacional;10.218;2.285;84.111,52;19.268;5;3;4;2
2011;Pandora Filmes;12443/333;Distribuição Nacional;65.369;13.190;574.166,42;94.422;25;6;6;3
2011;Paramount;169;Distribuição Internacional;24.253.226;1.283.545;252.000.886,00;11.967.157;21;3;17;1
2011;Paris;11922;Distribuição Nacional;13.801.567;912.676;136.992.869,42;8.288.699;36;3;23;3
2011;Petrini;18028;Distribuição Nacional;25.553;0;216.244,89;0;4;0;3;0
2011;Pipa Produções;5467;Distribuição Nacional;33.130;31.912;260.124,51;250.449;6;5;6;5
2011;Playarte;443;Distribuição Nacional;3.199.162;115.807;34.896.890,05;1.035.571;28;4;17;1
2011;Polifilmes;2550;Distribuição Nacional;23.712;23.712;205.232,90;205.233;9;9;6;6
2011;Polifilmes/Lapfilme;2550/994;Distribuição Nacional;3.469;3.469;32.011,56;32.012;1;1;1;1
2011;Raiz Distribuidora;11792;Distribuição Nacional;171.463;171.463;516.760,05;516.760;14;14;3;3
2011;Schürmann;7132;Distribuição Nacional;9.821;9.821;101.249,85;101.250;1;1;1;1
2011;Serendip;4626;Distribuição Nacional;110.142;0;1.161.600,33;0;9;0;5;0
2011;Sony;84;Distribuição Internacional;19.652.349;46.759;194.832.720,10;400.409;43;10;17;1
2011;Sony/Downtown;84/4904;Codistribuição Internacional-Nacional;65;65;161;161;1;1;0;0
2011;Sony/RioFilme;84/105;Codistribuição Internacional-Nacional;4.783;4.783;14.447,50;14.448;1;1;0;0
2011;Tucumán;16132;Distribuição Nacional;1.172;0;12.561,15;0;1;0;1;0
2011;TVA2 Produções;14408;Distribuição Nacional;251;251;1.745,05;1.745;1;1;1;1
2011;Universal;169/84/33787;Distribuição Internacional;6.329.264;593.861;59.818.790,00;5.881.678;17;2;11;1
2011;Videofilmes;276;Distribuição Nacional;10.436;10.436;96.645,82;96.646;5;5;4;4
2011;Vinny Filmes;17810;Distribuição Nacional;828.408;0;7.919.553,22;0;5;0;5;0
2011;Vitrine Filmes;16713;Distribuição Nacional;26.677;25.512;212.897,01;202.101;17;16;14;13
2011;Warner;265;Distribuição Internacional;18.131.124;54.563;184.760.347,36;536.448;37;3;21;2
2011;Warner/RioFilme;265/105;Codistribuição Internacional-Nacional;3.426;3.426;10.198,00;10.198;1;1;0;0
2011;Zazen;611;Distribuição Nacional;123.248;123.248;1.141.039,58;1.141.040;1;1;0;0
2011;Zéfiro Produções;18707;Distribuição Nacional;ND;ND;ND;ND;1;1;1;1
2012;Ab Filmes;136;Distribuição Nacional;13.507;0;151.492,28;0;3;0;2;0
2012;Ab Filmes/Festival Filmes;136/16538;Distribuição Nacional;118;118;749;749;1;1;0;0
2012;Ab Filmes/Polifilmes;136/2550;Distribuição Nacional;7.149;7.149;71.046,47;71.046;1;1;1;1
2012;Affonso Uchôa;20515;Distribuição Nacional;321;321;1.488,50;1.489;1;1;1;1
2012;Bollywood Filmes;20883;Distribuição Nacional;1.355;0;12.518,21;0;1;0;1;0
2012;Bonfilm;14462;Distribuição Nacional;141;0;910,5;0;1;0;0;0
2012;Caliban;854;Distribuição Nacional;4.493;4.493;40.278,50;40.279;1;1;1;1
2012;Califórnia;532;Distribuição Nacional;1.763.263;38.739;21.285.077,06;393.593;22;1;16;1
2012;Canal Azul;526;Distribuição Nacional;691;691;7.719,00;7.719;1;1;1;1
2012;Carioca;1442;Distribuição Nacional;60;60;190,75;191;1;1;0;0
2012;Casa Azul;2260;Distribuição Nacional;39;39;415;415;1;1;1;1
2012;Ciclorama Filmes;17471;Distribuição Nacional;322;322;1.692,00;1.692;1;1;1;1
2012;Copacabana Filmes;506;Distribuição Nacional;96;96;320;320;1;1;0;0
2012;Disney;18398;Distribuição Internacional;17.141.172;0;200.716.283,11;0;16;0;7;0
2012;Downtown;4904;Distribuição Nacional;48.739;48.739;511.058,02;511.058;5;5;2;2
2012;Downtown/Paris/RioFilme;4904/11922/105;Distribuição Nacional;9.970.033;9.970.033;101.054.281,79;101.054.282;6;6;6;6
2012;Downtown/RioFilme;4904/105;Distribuição Nacional;96.357;96.357;1.026.880,87;1.026.881;2;2;1;1
2012;Elo Company;5672;Distribuição Nacional;681;681;8.576,42;8.576;1;1;1;1
2012;Empresa Cinematográfica Pampeana;929;Distribuição Nacional;970;970;8.524,81;8.525;1;1;1;1
2012;Esfera Produções;18039;Distribuição Nacional;41.931;0;498.241,61;0;8;0;6;0
2012;Espaço Filmes;1083;Distribuição Nacional;21.847;21.847;228.387,88;228.388;7;7;5;5
2012;Espaço Itaú de Cinema;14006;Distribuição Nacional;1.639;0;34.470,12;0;2;0;1;0
2012;Filmes da Mostra;1797/29957;Distribuição Nacional;16.860;0;152.203,82;0;11;0;5;0
2012;Filmes do Estação;592;Distribuição Nacional;24.885;54;222.280,89;321;5;1;1;0
2012;Formosa Filmes;16462;Distribuição Nacional;18;18;192;192;1;1;0;0
2012;Fox;256;Distribuição Internacional;21.096.097;160.554;219.680.717,47;1.492.418;25;3;15;1
2012;Fraiha Produções;298;Distribuição Nacional;980;980;10.098,24;10.098;1;1;1;1
2012;G7 Cinema;5341;Distribuição Nacional;13.609;13.609;161.692,46;161.692;1;1;1;1
2012;Grafo Audiovisual;13715;Distribuição Nacional;1.884;1.884;16.751,10;16.751;1;1;1;1
2012;Graça Filmes;16514;Distribuição Nacional;292.796;0;2.652.680,52;0;1;0;1;0
2012;Gávea Filmes e Produções;7128;Distribuição Nacional;2.263;2.263;13.943,21;13.943;2;2;1;1
2012;H2O Films;24619/21541;Distribuição Nacional;4.329;4.329;42.923,81;42.924;1;1;1;1
2012;H2O Films/RioFilme;24619/21541/105;Distribuição Nacional;61.312;61.312;453.499,97;453.500;2;2;2;2
2012;Ideias Maria Farinha;15848;Distribuição Nacional;2.744;2.744;29.153,99;29.154;1;1;1;1
2012;Imagem;1935;Distribuição Nacional;12.419.712;689.494;136.702.831,17;6.753.606;44;8;29;3
2012;Imovision;11868/173;Distribuição Nacional;1.027.417;114.470;11.857.567,73;1.204.043;56;6;34;5
2012;Kinofilmes Produções;232;Distribuição Nacional;279;279;3.191,00;3.191;1;1;1;1
2012;Leão Filmes;346;Distribuição Nacional;53;53;299;299;1;1;0;0
2012;Like Filmes;13632;Distribuição Nacional;ND;ND;ND;ND;1;1;1;1
2012;Lume Produções Cinematográficas;11990;Distribuição Nacional;31.975;1.486;257.175,31;9.596;14;2;8;2
2012;Mapa Filmes do Brasil;647;Distribuição Nacional;597;597;6.041,50;6.042;1;1;0;0
2012;Maxie Demian;1417;Distribuição Nacional;283;283;2.015,00;2.015;1;1;1;1
2012;Mercúrio Produções;1436;Distribuição Nacional;9.489;9.489;42.378,90;42.379;1;1;1;1
2012;Mirada Filmes;16012;Distribuição Nacional;162;162;1.756,00;1.756;1;1;1;1
2012;Mobz;19119;Distribuição Nacional;2.770;2.770;34.233,47;34.233;1;1;1;1
2012;Moviola Filmes;18147;Distribuição Nacional;460;460;2.856,00;2.856;1;1;1;1
2012;Okna Produções;11871;Distribuição Nacional;447;447;2.207,00;2.207;1;1;1;1
2012;Outros Filmes Produções;14944;Distribuição Nacional;576;576;3.480,00;3.480;2;2;2;2
2012;Panda Filmes;941;Distribuição Nacional;4.648;0;40.689,00;0;1;0;1;0
2012;Pandora Filmes;12443/333;Distribuição Nacional;68.267;4.163;683.995,57;31.565;21;4;8;1
2012;Paramount;169;Distribuição Internacional;12.716.639;170.471;142.273.551,00;1.883.285;12;1;9;1
2012;Paris;11922;Distribuição Nacional;17.631.287;370.624;189.518.045,70;3.879.783;39;1;31;1
2012;Petrini;18028;Distribuição Nacional;32.605;0;333.179,00;0;4;0;2;0
2012;Pipa Produções;5467;Distribuição Nacional;1.386;1.386;10.651,48;10.651;3;3;1;1
2012;Playarte;443;Distribuição Nacional;1.753.221;288.900;19.610.848,59;3.300.873;23;2;12;1
2012;Polifilmes;2550;Distribuição Nacional;1.843;1.843;10.192,01;10.192;7;7;0;0
2012;Polifilmes/Asacine;2550/79;Distribuição Nacional;499;499;4.723,27;4.723;1;1;1;1
2012;Prana Filmes;1226;Distribuição Nacional;1.546;1.546;10.961,90;10.962;1;1;1;1
2012;Quimera Filmes;459;Distribuição Nacional;14;14;225;225;1;1;0;0
2012;Raiz Distribuidora;11792;Distribuição Nacional;322;322;3.053,53;3.054;3;3;0;0
2012;Refinaria Produções;4223;Distribuição Nacional;145;145;1.012,00;1.012;1;1;1;1
2012;RioFilme;105;Distribuição Nacional;3.546;3.546;33.765,50;33.766;1;1;1;1
2012;Serendip;4626;Distribuição Nacional;33.692;0;318.864,11;0;7;0;3;0
2012;Signopus;1494;Distribuição Nacional;7.916;7.916;71.505,59;71.506;1;1;1;1
2012;Sony;84;Distribuição Internacional;21.791.110;75.217;254.267.016,35;864.400;29;2;19;1
2012;Sony/Downtown;84/4904;Codistribuição Internacional-Nacional;377.887;377.887;3.898.283,67;3.898.284;1;1;1;1
2012;Sony/RioFilme;84/105;Codistribuição Internacional-Nacional;46.735;46.735;537.896,75;537.897;2;2;1;1
2012;Terra Firme;13354;Distribuição Nacional;548;548;5.776,00;5.776;1;1;1;1
2012;Tigre Produções Cinematográficas;2234;Distribuição Nacional;19.674;19.674;47.125,51;47.126;1;1;1;1
2012;Tucumán;16132;Distribuição Nacional;5.638;2.184;47.473,98;12.778;3;1;3;1
2012;Universal;169/84/33787;Distribuição Internacional;9.162.708;5.147;95.915.553,00;50.074;17;1;14;1
2012;Usina Digital;4591;Distribuição Nacional;ND;ND;ND;ND;1;1;1;1
2012;Videofilmes;276;Distribuição Nacional;92;92;411;411;2;2;0;0
2012;Vinny Filmes;17810;Distribuição Nacional;648.161;218.938;6.689.303,24;1.913.570;26;2;20;2
2012;Vitrine Filmes;16713;Distribuição Nacional;40.508;36.285;349.493,79;311.116;15;14;7;6
2012;VPC Cinemavídeo;2273;Distribuição Nacional;1.856;1.856;14.074,50;14.075;1;1;1;1
2012;Warner;265;Distribuição Internacional;17.716.110;2.357.104;197.348.198,00;23.603.078;28;4;17;2
2012;Werinton Kermes;21960;Distribuição Nacional;ND;ND;ND;ND;1;1;1;1
2012;Zazen;611;Distribuição Nacional;402.852;402.852;3.963.582,33;3.963.582;1;1;1;1
2013;Ab Filmes/Polifilmes;136/2550;Distribuição Nacional;1.200;1.200;11.586,13;11.586;2;2;1;1
2013;Alphaville Filmes;6418;Distribuição Nacional;182.445;0;2.186.898,81;0;10;0;10;0
2013;ArtHouse;22808;Distribuição Nacional;767;767;10.025,35;10.025;2;2;2;2
2013;Bela Filmes;18625;Distribuição Nacional;553;553;3.939,68;3.940;1;1;1;1
2013;Bonfilm;14462;Distribuição Nacional;23;0;281,95;0;1;0;0;0
2013;Brazukah Produções Culturais;12061;Distribuição Nacional;153;153;1.300,19;1.300;1;1;1;1
2013;Bretz Filmes/RioFilme;19243/105;Distribuição Nacional;8.831;8.831;94.502,95;94.503;1;1;1;1
2013;Busca Vida Filmes;18932;Distribuição Nacional;1.334;1.334;17.278,01;17.278;1;1;1;1
