Listagem de Filmes Brasileiros e Estrangeiros Exibidos - 2009 a 2019;;;;;;;;;;
;;;;;;;;;;
Ano de exibição;Título da obra;CPB/ROE;Gênero;País(es) produtor(es) da obra;Nacionalidade da obra;Data de lançamento;Empresa distribuidora;Origem da empresa distribuidora;Público no ano de exibição;Renda (R$) no ano de exibição
2014;Rio em Chamas;B1402186400000;Documentário;Brasil;Brasileira;29/05/2014;Cavideo Produções;Distribuição Nacional;970;4.875,00
2014;Rio, Eu te Amo;B1402269500000;Ficção;Brasil;Brasileira;11/09/2014;Warner;Distribuição Internacional;98.990;1.239.716,00
2014;Riocorrente;B1302034400000;Ficção;Brasil;Brasileira;05/06/2014;Califórnia;Distribuição Nacional;3.970;51.295,98
2014;Ritos de Passagem;B1201628900000;Animação;Brasil;Brasileira;02/10/2014;Pipa Produções;Distribuição Nacional;966;5.224,50
2014;Robocop;E1600129100000;Ficção;Estados Unidos;Estrangeira;21/02/2014;Sony;Distribuição Internacional;2.816.772;33.468.464,81
2014;Rodência e o Dente da Princesa;E1600148700000;Animação;Argentina, Peru;Estrangeira;21/02/2014;H2O Films;Distribuição Nacional;28.951;379.618,25
2014;Rota de Fuga;E1600139900000;Ficção;Estados Unidos;Estrangeira;11/10/2013;Paris;Distribuição Nacional;115;580
2014;Run & Jump;E1600106800000;Ficção;Irlanda;Estrangeira;18/12/2014;Filmes da Mostra;Distribuição Nacional;668;9.644,12
2014;S. O. S. Mulheres ao Mar;B1402106900000;Ficção;Brasil;Brasileira;20/03/2014;Disney;Distribuição Internacional;1.776.579;20.732.500,00
2014;Saint Laurent;E1402424400000;Ficção;França;Estrangeira;13/11/2014;Imovision;Distribuição Nacional;30.598;462.077,34
2014;Sangue Ruim;E1500873300000;Ficção;França;Estrangeira;03/01/2014;Pandora Filmes;Distribuição Nacional;2.420;26.943,05
2014;Satyrianas, 78horas em 78 min;B1301898000000;Documentário;Brasil;Brasileira;13/09/2013;Vitrine Filmes;Distribuição Nacional;23;125
2014;Scarface;E1402577700000;Ficção;Estados Unidos;Estrangeira;Relançamento;Cinemark Brasil;Distribuição Nacional;4.482;41.734,00
2014;Se Eu Ficar;E1402673400000;Ficção;Estados Unidos;Estrangeira;04/09/2014;Warner;Distribuição Internacional;577.153;6.434.934,00
2014;Se Fazendo de Morto;E1402566600000;Ficção;França;Estrangeira;15/01/2015;Tucumán;Distribuição Nacional;150;1.089,50
2014;Sejam muito bem-vindos;E1500498800000;Ficção;França;Estrangeira;29/03/2013;Imovision;Distribuição Nacional;129;1.271,55
2014;Sem Escalas;E1402642500000;Ficção;Estados Unidos;Estrangeira;01/03/2014;Paris;Distribuição Nacional;903.041;10.596.856,19
2014;Sem Evidências;E1600107800000;Ficção;Estados Unidos;Estrangeira;24/07/2014;Paris;Distribuição Nacional;18.015;298.682,74
2014;Sem Pena;B1402173200000;Documentário;Brasil;Brasileira;02/10/2014;Espaço Filmes;Distribuição Nacional;7.212;93.159,48
2014;Sementes do Nosso Quintal;B1301754000000;Documentário;Brasil;Brasileira;08/05/2014;Aiuê Filmes;Distribuição Nacional;2.192;21.416,16
2014;Separados pelo Inverno;E1600240500000;Ficção;Irã;Estrangeira;10/08/2012;Pandora Filmes;Distribuição Nacional;701;7.390,00
2014;Serra Pelada;B1301969600000;Ficção;Brasil;Brasileira;18/10/2013;Warner;Distribuição Internacional;79;395
2014;Será Que?;E1500009500000;Ficção;Canadá, Irlanda;Estrangeira;25/09/2014;Diamond Films;Distribuição Nacional;47.678;587.231,44
2014;Setenta;B1402151100000;Documentário;Brasil;Brasileira;29/05/2014;Livres Filmes;Distribuição Nacional;1.249;17.330,87
2014;Sex Tape: Perdido na Nuvem;E1402397600000;Ficção;Estados Unidos;Estrangeira;21/08/2014;Sony;Distribuição Internacional;342.572;4.311.726,35
2014;Silent Hill - Revelação 3D;E1600186300000;Ficção;Canadá;Estrangeira;11/10/2013;Playarte;Distribuição Nacional;284;2.109,00
2014;Simone;B1301776900000;Ficção;Brasil;Brasileira;06/12/2013;Tucumán;Distribuição Nacional;291;2.510,00
2014;Simplesmente uma mulher;E1500513100000;Ficção;Estados Unidos, França, Reino Unido;Estrangeira;19/07/2013;Imovision;Distribuição Nacional;407;4.032,00
2014;Sin City 2: A Dama Fatal;E1402433300000;Ficção;Estados Unidos;Estrangeira;25/09/2014;Imagem;Distribuição Nacional;86.010;1.304.633,38
2014;Singularidades de uma rapariga loira;E1600135000000;Ficção;Portugal;Estrangeira;13/05/2011;Filmes da Mostra;Distribuição Nacional;71;353
2014;Slovenian Girl;E1600218700000;Ficção;Alemanha, Croácia, Eslovênia, Sérvia;Estrangeira;16/03/2012;Tucumán;Distribuição Nacional;37;450
2014;Sob a Pele;E1600112400000;Ficção;Reino Unido;Estrangeira;15/05/2014;Paris;Distribuição Nacional;19.547;288.617,77
2014;Sobre Sete Ondas Verdes Espumantes;B1302014400000;Documentário;Brasil;Brasileira;27/03/2014;Boulevard Filmes;Distribuição Nacional;1.071;5.941,00
2014;Sobrenatural: Capítulo 2;E1600144700000;Ficção;Estados Unidos;Estrangeira;22/11/2013;Sony;Distribuição Internacional;2.336;18.924,50
2014;Sobrevivente;E1500566800000;Ficção;Islândia;Estrangeira;17/07/2014;Imovision;Distribuição Nacional;4.056;57.789,04
2014;Sobrevivente Urbano;B1402285000000;Ficção;Brasil;Brasileira;16/10/2014;Ze's Produções;Distribuição Nacional;366;4.156,00
2014;Sobrevivi ao Holocausto;B1402202200000;Documentário;Brasil;Brasileira;21/08/2014;Downtown/Paris;Distribuição Nacional;1.699;22.981,07
2014;Somos o que Somos;E1500524500000;Ficção;Estados Unidos, França;Estrangeira;13/12/2013;Esfera Produções;Distribuição Nacional;1.689;12.090,00
2014;Sopro;B1402635200000;Documentário;Brasil;Brasileira;04/12/2014;Lume Produções Cinematográficas;Distribuição Nacional;1.253;5.683,00
2014;Star Wars: Episódio I – A ameaça fantasma;E1500381800000;Ficção;Estados Unidos;Estrangeira;Relançamento;Fox;Distribuição Internacional;593;7.751,00
2014;Star Wars: Episódio III - A Vingança dos Sith;E1500382000000;Ficção;Estados Unidos;Estrangeira;Relançamento;Fox;Distribuição Internacional;372;5.639,00
2014;Star Wars: The Clone Wars;E1600546100000;Animação;Estados Unidos;Estrangeira;15/08/2008;Fox;Distribuição Internacional;566;6.352,00
2014;Sudoeste;B1101513200000;Ficção;Brasil;Brasileira;19/10/2012;Vitrine Filmes;Distribuição Nacional;69;471
2014;São Silvestre;B1301963900000;Documentário;Brasil;Brasileira;27/12/2013;Pandora Filmes;Distribuição Nacional;917;8.508,98
2014;Sétimo;E1402856300000;Ficção;Argentina, Espanha;Estrangeira;27/11/2014;Fox;Distribuição Internacional;51.807;751.340,00
2014;Tabu;B1201639800000;Ficção;Brasil, Alemanha, França, Portugal;Brasileira;28/06/2013;Espaço Filmes;Distribuição Nacional;1.827;15.068,30
2014;Tango Livre;E1500065400000;Ficção;Bélgica, França, Luxemburgo;Estrangeira;29/11/2013;Imovision;Distribuição Nacional;7.783;92.907,35
2014;Tanta água;E1402825400000;Ficção;Uruguai;Estrangeira;13/09/2013;Pandora Filmes;Distribuição Nacional;651;4.574,24
2014;Tarja Branca;B1402178100000;Documentário;Brasil;Brasileira;19/06/2014;Ideias Maria Farinha;Distribuição Nacional;14.892;193.057,40
2014;Tarzan;E1500410500000;Animação;Alemanha;Estrangeira;17/01/2014;Imagem;Distribuição Nacional;901.617;11.868.162,44
2014;Tatuagem;B1301947600000;Ficção;Brasil;Brasileira;15/11/2013;Imovision;Distribuição Nacional;14.209;104.735,35
2014;Taxi Driver;E1600243600000;Ficção;Estados Unidos;Estrangeira;Relançamento;Cinemark Brasil;Distribuição Nacional;9.843;87.236,00
2014;Terra firme;E1500842600000;Ficção;Itália;Estrangeira;18/10/2013;Esfera Produções;Distribuição Nacional;656;5.732,80
2014;Tese sobre um homicídio;E1600160600000;Ficção;Argentina, Espanha;Estrangeira;26/07/2013;Califórnia;Distribuição Nacional;128;1.280,60
2014;The Rover - A Caçada;E1402693400000;Ficção;Austrália, Estados Unidos;Estrangeira;07/08/2014;Vitrine Filmes;Distribuição Nacional;10.173;139.967,63
2014;Thor 2 - O Mundo Sombrio;E1500692500000;Ficção;Estados Unidos;Estrangeira;01/11/2013;Disney;Distribuição Internacional;11.803;135.326,00
2014;Tim Lopes – História de Arcanjo;B1402168700000;Documentário;Brasil;Brasileira;05/06/2014;Europa;Distribuição Nacional;1.676;21.160,31
2014;Tim Maia;B1402280500000;Ficção;Brasil;Brasileira;30/10/2014;Downtown/Paris;Distribuição Nacional;776.824;10.254.202,77
2014;Time Show de Bola;E1500781600000;Animação;Holanda;Estrangeira;29/11/2013;Universal;Distribuição Internacional;6.255;33.774,00
2014;Tinker Bell - Fadas e Piratas;E1600119200000;Animação;Estados Unidos;Estrangeira;07/03/2014;Disney;Distribuição Internacional;429.787;5.537.831,00
2014;Tinker Bell e o Segredo das Fadas;E1600178100000;Animação;Estados Unidos;Estrangeira;21/09/2012;Disney;Distribuição Internacional;1.670;15.816,00
2014;Todos os Dias;E1500844200000;Ficção;Reino Unido;Estrangeira;24/01/2014;Esfera Produções;Distribuição Nacional;5.977;70.584,74
2014;Tomboy;E1600210300000;Ficção;França;Estrangeira;13/01/2012;Pandora Filmes;Distribuição Nacional;202;2.277,00
2014;Toque de mestre;E1500445500000;Ficção;Espanha;Estrangeira;03/04/2014;Playarte;Distribuição Nacional;29.712;433.400,32
2014;Touro Indomável;E1600677300000;Ficção;Estados Unidos;Estrangeira;Relançamento;Cinemark Brasil;Distribuição Nacional;1.783;15.769,50
2014;Trampolim do Forte;B1101372000000;Ficção;Brasil;Brasileira;08/11/2013;Pipa Produções;Distribuição Nacional;625;4.943,27
2014;Transcendence – A Revolução;E1402445700000;Ficção;Reino Unido, Estados Unidos, China;Estrangeira;19/06/2014;Diamond Films;Distribuição Nacional;300.356;3.904.643,94
2014;Transformers: A Era da Extinção;E1402417200000;Ficção;China, Estados Unidos;Estrangeira;17/07/2014;Paramount;Distribuição Internacional;4.587.292;61.735.174,00
2014;Trapaça;E1600129500000;Ficção;Estados Unidos;Estrangeira;07/02/2014;Sony;Distribuição Internacional;633.395;8.978.771,34
2014;Trash - A Esperança vem do Lixo;B1402294200000;Ficção;Brasil, Alemanha, Reino Unido;Brasileira;09/10/2014;Universal;Distribuição Internacional;259.247;3.040.736,35
2014;Trem Noturno para Lisboa;E1600145600000;Ficção;Alemanha, Portugal, Suíça;Estrangeira;29/11/2013;Europa;Distribuição Nacional;27.602;282.409,55
2014;Trinta;B1402332500000;Ficção;Brasil;Brasileira;13/11/2014;Fox;Distribuição Internacional;21.549;283.856,00
2014;Triângulo amoroso;E1600213900000;Ficção;Alemanha;Estrangeira;09/12/2011;Lume Produções Cinematográficas;Distribuição Nacional;113;731
2014;Tudo Acontece em Nova York;E1600107200000;Ficção;Estados Unidos;Estrangeira;21/08/2014;Pandora Filmes;Distribuição Nacional;14.119;184.952,48
2014;Tudo ficará bem;E1600203300000;Ficção;Dinamarca, França, Suécia;Estrangeira;12/08/2011;Lume Produções Cinematográficas;Distribuição Nacional;39;225
2014;Tudo por Justiça;E1500411500000;Ficção;Estados Unidos, Inglaterra;Estrangeira;27/03/2014;Imagem;Distribuição Nacional;43.092;674.464,56
2014;Tudo por um Furo;E1402650700000;Ficção;Estados Unidos;Estrangeira;28/02/2014;Paramount;Distribuição Internacional;68.971;820.959,00
2014;Turbo;E1500383300000;Animação;Estados Unidos;Estrangeira;19/07/2013;Fox;Distribuição Internacional;718;2.709,00
2014;Tá chovendo hambúrguer 2;E1600120700000;Animação;Estados Unidos;Estrangeira;04/10/2013;Sony;Distribuição Internacional;1.895;12.310,50
2014;Um Amor de Vizinha;E1500617100000;Ficção;Estados Unidos;Estrangeira;10/10/2014;Playarte;Distribuição Nacional;60.851;847.685,19
2014;Um Amor em Paris;E1500261900000;Ficção;França;Estrangeira;04/09/2014;Tucumán;Distribuição Nacional;28.422;349.520,70
2014;Um Belo Domingo;E1600106700000;Ficção;França;Estrangeira;21/08/2014;Alphaville Filmes;Distribuição Nacional;6.551;83.590,49
2014;Um Castelo na Itália;E1402752100000;Ficção;França;Estrangeira;01/11/2013;Imovision;Distribuição Nacional;2.699;26.088,97
2014;Um conto chinês;E1500575400000;Ficção;Argentina, Espanha;Estrangeira;02/09/2011;Paris;Distribuição Nacional;220;1.731,00
2014;Um Conto do Destino;E1500259000000;Ficção;Estados Unidos;Estrangeira;21/02/2014;Warner;Distribuição Internacional;52.195;586.960,00
2014;Um Corpo que Cai;E1402578100000;Ficção;Estados Unidos;Estrangeira;Relançamento;Espaço Filmes;Distribuição Nacional;8.177;89.430,03
2014;Um Episódio na Vida de um Catador de Ferro-velho;E1600119400000;Ficção;Bósnia-Herzegóvina, Eslovênia, França, Itália;Estrangeira;20/03/2014;Zeta Filmes;Distribuição Nacional;851;10.582,18
2014;Um Estranho no Lago;E1500522100000;Ficção;França;Estrangeira;13/12/2013;Imovision;Distribuição Nacional;6.012;64.676,02
2014;Um Final de Semana em Hyde Park;E1600177100000;Ficção;Reino Unido;Estrangeira;29/11/2013;Playarte;Distribuição Nacional;2.637;27.548,26
2014;Um Milhão de Maneiras de Pegar na Pistola;E1402596200000;Ficção;Estados Unidos;Estrangeira;18/09/2014;H2O Films;Distribuição Nacional;51.587;600.726,52
2014;Um Novo Dueto;E1500667600000;Ficção;França;Estrangeira;11/09/2014;Imovision;Distribuição Nacional;7.652;109.005,32
2014;Um Plano Brilhante;E1500074900000;Ficção;França;Estrangeira;19/06/2014;Playarte;Distribuição Nacional;63.076;877.801,63
2014;Um Toque de Pecado;E1600132700000;Ficção;China;Estrangeira;13/12/2013;Paris;Distribuição Nacional;1.553;17.916,52
2014;Uma Aventura Lego;E1500178000000;Animação;Estados Unidos;Estrangeira;07/02/2014;Warner;Distribuição Internacional;1.035.971;13.476.761,00
2014;Uma dama em Paris;E1500842800000;Ficção;França;Estrangeira;05/07/2013;Esfera Produções;Distribuição Nacional;1.687;10.795,45
2014;Uma Dose Violenta de Qualquer Coisa;B1402065100000;Ficção;Brasil;Brasileira;14/08/2014;Okna Produções;Distribuição Nacional;3.667;37.165,79
2014;Uma Estranha Amizade;E1600139700000;Ficção;Estados Unidos, Reino Unido;Estrangeira;13/12/2013;Tucumán;Distribuição Nacional;4.810;49.027,04
2014;Uma Família em Tóquio;E1500842400000;Ficção;Japão;Estrangeira;07/02/2014;Esfera Produções;Distribuição Nacional;9.571;68.482,62
2014;Uma garrafa no mar de Gaza;E1500841900000;Ficção;França, Israel;Estrangeira;29/03/2013;Esfera Produções;Distribuição Nacional;455;3.110,00
2014;Uma Juíza sem Juízo;E1600112800000;Ficção;França;Estrangeira;26/06/2014;Europa;Distribuição Nacional;9.342;111.604,19
2014;Uma Linda Mulher;E1402794600000;Ficção;Estados Unidos;Estrangeira;Relançamento;Cinemark Brasil;Distribuição Nacional;4.063;34.956,00
2014;Uma Lição de Vida;E1500711200000;Ficção;Estados Unidos, Reino Unido;Estrangeira;14/08/2014;Europa;Distribuição Nacional;11.318;139.788,51
2014;Uma Longa Queda;E1600112500000;Ficção;Inglaterra;Estrangeira;22/05/2014;Califórnia;Distribuição Nacional;4.079;58.790,05
2014;Uma Longa Viagem (2014);E1402601200000;Ficção;Austrália;Estrangeira;19/12/2014;Califórnia;Distribuição Nacional;14.239;236.609
2014;Uma noite;E1600159900000;Ficção;Cuba, Estados Unidos;Estrangeira;21/06/2013;Polifilmes;Distribuição Nacional;190;1.549,00
2014;Uma Noite de Crime;E1402606300000;Ficção;Estados Unidos;Estrangeira;01/11/2013;Universal;Distribuição Internacional;33;300
2014;Uma Noite de Crime: Anarquia;E1402362500000;Ficção;Estados Unidos, França;Estrangeira;04/12/2014;H2O Films;Distribuição Nacional;7.400;85.275,53
2014;Uma Nova Chance para Amar;E1402451400000;Ficção;Estados Unidos;Estrangeira;18/09/2014;Califórnia;Distribuição Nacional;11.617;187.919,66
2014;Uma Passagem para Mário;B1402449000000;Documentário;Brasil;Brasileira;06/11/2014;Laurence Produções;Distribuição Nacional;2.462;14.091,52
2014;Uma Primavera com minha Mãe;E1600146000000;Ficção;França;Estrangeira;27/09/2013;Tucumán;Distribuição Nacional;153;1.810,00
2014;Uma Promessa;E1402363700000;Ficção;Bélgica, França;Estrangeira;20/11/2014;Alphaville Filmes;Distribuição Nacional;11.726;156.644,37
2014;Uma Relação Delicada;E1600112600000;Ficção;França;Estrangeira;22/05/2014;Tucumán;Distribuição Nacional;4.081;44.150,30
2014;Uma Viagem Extraordinária;E1402543900000;Ficção;França;Estrangeira;06/11/2014;Califórnia;Distribuição Nacional;14.603;249.271,49
2014;Uma Vida Comum;E1600110500000;Ficção;Reino Unido;Estrangeira;05/06/2014;F. J. Cines;Distribuição Nacional;4.408;39.122,50
2014;Universidade Monstros;E1600159600000;Animação;Estados Unidos;Estrangeira;21/06/2013;Disney;Distribuição Internacional;1.926;16.695,00
2014;Valente;E1600179900000;Animação;Estados Unidos;Estrangeira;20/07/2012;Disney;Distribuição Internacional;1.877;16.461,00
2014;Vencer;E1500793000000;Ficção;França, Itália;Estrangeira;23/07/2010;Imovision;Distribuição Nacional;35;420,63
2014;Ventos de Agosto;B1402265700000;Ficção;Brasil;Brasileira;13/11/2014;Vitrine Filmes;Distribuição Nacional;6.579;76.683,42
2014;Vermelho Brasil;B1402156100000;Ficção;Brasil, Canadá, França;Brasileira;05/06/2014;H2O Films;Distribuição Nacional;538;6.555,01
2014;Versos de um Crime;E1500050700000;Ficção;Estados Unidos;Estrangeira;12/06/2014;Paris;Distribuição Nacional;7.799;113.459,50
2014;Vestido pra Casar;B1402241100000;Ficção;Brasil;Brasileira;07/08/2014;Imagem;Distribuição Nacional;1.258.666;14.756.242,84
2014;Vic+Flo Viram um Urso;E1600119800000;Ficção;Canadá;Estrangeira;19/06/2014;Zeta Filmes;Distribuição Nacional;1.980;18.596,59
2014;Vidas ao Vento;E1500054100000;Animação;Japão;Estrangeira;28/02/2014;Califórnia;Distribuição Nacional;20.147;246.067,57
2014;Violeta Foi Para o Céu;B1201567200000;Ficção;Brasil, Chile;Brasileira;08/06/2012;Imovision;Distribuição Nacional;200;1.000,00
2014;Violetta – O Show;E1600111000000;Videomusical;Argentina;Estrangeira;26/06/2014;Disney;Distribuição Internacional;11.969;157.253,00
2014;Violette;E1500635600000;Ficção;Bélgica, França;Estrangeira;28/08/2014;Imovision;Distribuição Nacional;10.031;119.723,97
2014;Virgínia;E1500711100000;Ficção;Estados Unidos;Estrangeira;10/01/2014;Europa;Distribuição Nacional;4.157;53.035,41
2014;Vitus;E1600639100000;Ficção;Suíça;Estrangeira;06/03/2009;Filmes da Mostra;Distribuição Nacional;106;824
2014;Viva a Liberdade;E1500578100000;Ficção;Itália;Estrangeira;10/07/2014;Alphaville Filmes;Distribuição Nacional;23.863;293.719,07
2014;Vizinhos;E1402421500000;Ficção;Estados Unidos;Estrangeira;19/06/2014;Universal;Distribuição Internacional;476.610;5.799.198,00
2014;Vovô sem Vergonha;E1402668000000;Ficção;Estados Unidos;Estrangeira;29/11/2013;Paramount;Distribuição Internacional;28.945;266.377,00
2014;Walesa;E1402821000000;Ficção;Polônia;Estrangeira;29/05/2014;Esfera Produções;Distribuição Nacional;4.491;57.193,93
2014;Walt nos Bastidores de Mary Poppins;E1402444600000;Ficção;Austrália, Estados Unidos, Reino Unido;Estrangeira;07/03/2014;Disney;Distribuição Internacional;46.933;816.004,00
2014;Whiplash - Em busca da perfeição;E1500147500000;Ficção;Estados Unidos;Estrangeira;08/01/2015;Sony;Distribuição Internacional;726;8.799,75
2014;Winter, O Golfinho 2;E1402826800000;Ficção;Estados Unidos;Estrangeira;11/09/2014;Warner;Distribuição Internacional;58.030;673.649,00
2014;Wolverine Imortal;E1500282900000;Ficção;Estados Unidos;Estrangeira;26/07/2013;Fox;Distribuição Internacional;185;1.082,00
2014;X-Men: Dias de um Futuro Esquecido;E1500054300000;Ficção;Estados Unidos;Estrangeira;22/05/2014;Fox;Distribuição Internacional;4.923.664;64.417.536,00
2014;Yves Saint Laurent;E1600114800000;Ficção;França;Estrangeira;24/04/2014;Paris;Distribuição Nacional;44.156;678.485,06
2014;Zarafa;E1500522300000;Animação;França;Estrangeira;26/07/2013;Imovision;Distribuição Nacional;43;344
2014;Álbum de Família;E1500411400000;Ficção;Estados Unidos;Estrangeira;27/12/2013;Imagem;Distribuição Nacional;240.174;3.298.303,10
2014;À Procura;E1402379500000;Ficção;Canadá;Estrangeira;04/12/2014;Imagem;Distribuição Nacional;4.923;92.108,57
2014;À Procura do Amor;E1500733600000;Ficção;Estados Unidos;Estrangeira;06/12/2013;Fox;Distribuição Internacional;2.746;25.031,00
2014;À Queima Roupa;B1402145600000;Documentário;Brasil;Brasileira;16/10/2014;Downtown;Distribuição Nacional;1.372;17.486,66
2014;Êxodo: Deuses e Reis;E1500147300000;Ficção;Espanha, Estados Unidos, Reino Unido;Estrangeira;25/12/2014;Fox;Distribuição Internacional;1.539.624;23.276.475,00
2014;Última Viagem a Vegas;E1402435300000;Ficção;Estados Unidos;Estrangeira;06/12/2013;Paris;Distribuição Nacional;50.819;699.220,02
2013;007 – Operação Skyfall;E1500274100000;Ficção;Estados Unidos, Inglaterra;Estrangeira;26/10/2012;Sony;Distribuição Internacional;2.469;18.232,00
2013;18 comidas;E1500841200000;Ficção;Espanha;Estrangeira;02/11/2012;Esfera Produções;Distribuição Nacional;554;6.581,00
2013;2 dias em Nova York;E1600171600000;Ficção;Alemanha, Bélgica, França;Estrangeira;26/04/2013;Califórnia;Distribuição Nacional;23.262;342.107,58
2013;2 mais 2;E1600563800000;Ficção;Argentina;Estrangeira;17/05/2013;Paris;Distribuição Nacional;24.294;310.554,58
2013;31 minutos – O filme;B1201568300000;Ficção;Brasil;Brasileira;03/08/2012;H2O Films/RioFilme;Distribuição Nacional;2.430;9.720,00
2013;5 x Pacificação;B1201617100000;Documentário;Brasil;Brasileira;16/11/2012;H2O Films/RioFilme;Distribuição Nacional;1.606;6.404,00
2013;7 Dias em Havana;E1500587600000;Ficção;Espanha, França;Estrangeira;26/10/2012;Imovision;Distribuição Nacional;881;7.574,00
2013;A alma da gente;B1301877200000;Documentário;Brasil;Brasileira;23/08/2013;E.H. Produções;Distribuição Nacional;1.646;17.320,65
2013;A Arte de Amar;E1500651500000;Ficção;França;Estrangeira;12/10/2012;Vinny Filmes;Distribuição Nacional;916;7.300,56
2013;A Aventura de Kon Tiki;E1600186400000;Ficção;Dinamarca, Alemanha, Noruega, Reino Unido;Estrangeira;09/08/2013;H2O Films;Distribuição Nacional;10.653;135.659,28
2013;A Batalha do passinho;B1301805800000;Documentário;Brasil;Brasileira;11/10/2013;Cine Santa Teresa;Distribuição Nacional;2.285;17.781,50
2013;A Bela e a Fera 3D;E1500449800000;Animação;Estados Unidos;Estrangeira;Relançamento;Disney;Distribuição Internacional;96;561
2013;A bela que dorme;E1500855500000;Ficção;França, Itália;Estrangeira;05/07/2013;Califórnia;Distribuição Nacional;12.057;135.778,79
2013;A Busca;B1301751900000;Ficção;Brasil;Brasileira;15/03/2013;Downtown/Paris/RioFilme;Distribuição Nacional;352.914;3.686.889,75
2013;A caça;E1500255600000;Ficção;Dinamarca, Suécia;Estrangeira;22/03/2013;Califórnia;Distribuição Nacional;58.661;740.044,97
2013;A Cidade é uma Só?;B1301852900000;Documentário;Brasil;Brasileira;12/07/2013;Vitrine Filmes;Distribuição Nacional;1.379;14.029,58
2013;A coleção invisível;B1201666700000;Ficção;Brasil;Brasileira;06/09/2013;Pandora Filmes;Distribuição Nacional;7.295;63.074,76
2013;A criada;E1500841300000;Ficção;Chile;Estrangeira;12/04/2013;Esfera Produções;Distribuição Nacional;6.297;82.444,00
2013;A Dama de Ferro;E1500616300000;Ficção;Reino Unido;Estrangeira;17/02/2012;Paris;Distribuição Nacional;87;1.260,84
2013;A Dançarina e o Ladrão;E1500575500000;Ficção;Espanha;Estrangeira;30/03/2012;Paris;Distribuição Nacional;9;147
2013;A datilografa;E1600160200000;Ficção;Bélgica, França;Estrangeira;24/05/2013;Paris;Distribuição Nacional;28.211;339.972,78
2013;A Entidade;E1402650400000;Ficção;Estados Unidos;Estrangeira;12/10/2012;Paris;Distribuição Nacional;181;1.121,00
2013;A escolha perfeita;E1402613400000;Ficção;Estados Unidos;Estrangeira;07/12/2012;Universal;Distribuição Internacional;1.007;7.004,00
2013;A espuma dos dias;E1402641100000;Ficção;França;Estrangeira;28/06/2013;Pandora Filmes;Distribuição Nacional;49.955;489.777,53
2013;A família;E1500627500000;Ficção;Estados Unidos, França;Estrangeira;20/09/2013;Paris;Distribuição Nacional;158.197;2.046.579,43
2013;A filha do meu melhor amigo;E1500100400000;Ficção;Estados Unidos;Estrangeira;06/09/2013;Europa;Distribuição Nacional;20.194;227.953,76
2013;A Filha do Pai;E1600177600000;Ficção;França;Estrangeira;21/12/2012;Vinny Filmes;Distribuição Nacional;7.231;64.432,00
2013;A Floresta de Jonathas;B1301846600000;Ficção;Brasil;Brasileira;29/11/2013;Vitrine Filmes;Distribuição Nacional;525;5.583,83
2013;A Fonte das Mulheres;E1500600100000;Ficção;Bélgica, França, Itália;Estrangeira;20/01/2012;Paris;Distribuição Nacional;46;348
2013;A Fuga;E1500803400000;Ficção;Estados Unidos;Estrangeira;15/03/2013;Playarte;Distribuição Nacional;99.473;1.078.200,61
2013;A fuga do planeta Terra;E1600233800000;Animação;Canadá, Estados Unidos;Estrangeira;30/05/2013;Diamond Films;Distribuição Nacional;160.989;2.093.497,50
2013;A Grande Beleza;E1500298300000;Ficção;Itália;Estrangeira;20/12/2013;Alphaville Filmes;Distribuição Nacional;24.966;334.058,99
2013;A Guerra dos Botões;E1500668800000;Ficção;França;Estrangeira;06/07/2012;Imovision;Distribuição Nacional;337;2.112,00
2013;A hora mais escura;E1500412000000;Ficção;Estados Unidos;Estrangeira;15/02/2013;Imagem;Distribuição Nacional;205.909;2.707.452,20
2013;A Hospedeira;E1500413500000;Ficção;Estados Unidos;Estrangeira;29/03/2013;Imagem;Distribuição Nacional;482.104;5.126.471,25
2013;A luz do Tom;B1101405200000;Documentário;Brasil;Brasileira;08/02/2013;Bretz Filmes/RioFilme;Distribuição Nacional;8.831;94.502,95
2013;A memória que me contam;B1201661300000;Ficção;Brasil;Brasileira;14/06/2013;Imovision;Distribuição Nacional;6.204;68.729,35
2013;A morte do demônio;E1600189300000;Ficção;Estados Unidos;Estrangeira;19/04/2013;Sony;Distribuição Internacional;355.605;4.073.355,50
2013;A Música Nunca Parou;E1402642300000;Ficção;Estados Unidos;Estrangeira;10/01/2014;Europa;Distribuição Nacional;316;3.666,13
2013;A Nave - Uma Viagem com a Jazz Sinfônica de São Paulo;B1302047400000;Documentário;Brasil;Brasileira;05/11/2013;Drama Filmes;Distribuição Nacional;365;1.104,00
2013;A negociação;E1500411600000;Ficção;Estados Unidos, Polônia;Estrangeira;21/12/2012;Imagem;Distribuição Nacional;69.005;903.938,44
2013;A Origem dos Guardiões;E1402668100000;Animação;Estados Unidos;Estrangeira;30/11/2012;Paramount;Distribuição Internacional;105.997;887.652,00
2013;A parte dos anjos;E1600172500000;Ficção;Bélgica, França, Itália, Reino Unido;Estrangeira;08/03/2013;Imovision;Distribuição Nacional;24.861;302.179,18
2013;A pele que habito;E1500616400000;Ficção;Espanha;Estrangeira;04/11/2011;Paris;Distribuição Nacional;87;516
2013;A Primeira Coisa Bela;E1600181400000;Ficção;Itália;Estrangeira;08/06/2012;Califórnia;Distribuição Nacional;319;2.941,00
2013;A profecia dos sapos;E1600597900000;Animação;França;Estrangeira;22/04/2005;Pandora Filmes;Distribuição Nacional;40;200
