"""Listagem de Autorizações de Produções Audiovisuais no Brasil com Participação de Profissionais Estrangeiros - 2014""";;;;;;;;;;;
;;;;;;;;;;;
"""Número de Autorização de Origem""";Data da Aprovação;"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)"""
"""11""";13/01/2014;"""2""";"""WE ARE ONE""";"""Videoclipe""";"""20/01/2014 a 05/02/2014""";"""Conspiração Filmes S/A""";"""RJ""";"""Black Dog Films""";"""EUA""";"""Estrangeira""";"""RJ"""
"""12""";14/01/2014;"""18""";"""OFF THE GRID""";"""Documentário""";"""16/01/2014 a 16/03/2014""";"""Francisco Ferreira Pinto Filho (Amazon Film Productions)""";"""AM""";"""Amazon Tv Limited""";"""Reino Unido""";"""Estrangeira""";"""AM/MT/PA/RJ"""
"""13""";14/01/2014;"""2""";"""TOT UND HARRY INTERNATIONAL""";"""Documentário""";"""25/01/2014 A 02/02/2014""";"""Sol Entertainment Ltda""";"""RJ""";"""Sony Pictures Film und Fernseh Produktions GmbH""";"""Alemanha""";"""Estrangeira""";"""PA/RJ"""
"""14""";14/01/2014;"""2""";"""HUMAN""";"""Documentário""";"""03/02/2014 A 21/02/2014""";"""Bonfilm Produção e Distribuição Audiovisual Ltda""";"""RJ""";"""Humankind Production""";"""França""";"""Estrangeira""";"""CE"""
"""15""";15/01/2014;"""3""";"""BIGGER THANK A BANK""";"""Publicitária""";"""20/01/2014 a 30/01/2014""";"""Sweet Produções Ltda""";"""SP""";"""Finch Company""";"""Austrália""";"""Estrangeira""";"""SP"""
"""16""";17/01/2014;"""8""";"""JAPONESES QUE VIVEM EM TERRAS DISTANTES""";"""Documentário""";"""06/02/2014 a 20/02/2014""";"""Urutau Filmes Ltda""";"""SP""";"""Wave Inc. / Keisuke Sawachi""";"""Japão""";"""Estrangeira""";"""RJ"""
"""17""";17/01/2014;"""11""";"""QUEST: THE MOVIE - PARTE II""";"""Documentário""";"""25/02/2014 a 15/03/2014""";"""Neon Rio Ltda""";"""RJ""";"""Quest Unlimited Ltd""";"""Reino Unido""";"""Estrangeira""";"""AM/SP"""
"""18""";21/01/2014;"""2""";"""SOCCER PLANET""";"""Documentário""";"""05/02/2014 a 21/02/2014""";"""Urutau Filmes Ltda""";"""SP""";"""NHK - Enterprises Inc.""";"""Japão""";"""Estrangeira""";"""RJ/SP"""
"""19""";21/01/2014;"""2""";"""VIDEO SAA""";"""Documentário Institucional""";"""11/02/2014 a 13/02/2014""";"""Stadium Pa Áudio e Vídeo Ltda Epp""";"""SP""";"""Paul Anthony Childs Kroeker""";"""Equador""";"""Estrangeira""";"""CE"""
"""20""";21/01/2014;"""5""";"""THE WORLD HERITAGE 4K PREMIUM EDITION""";"""Documentário""";"""05/02/2014 a 20/03/2014""";"""Sango Productions Ltda""";"""SP""";"""TBS Vision Ltda""";"""Japão""";"""Estrangeira""";"""MG/DF/PA/RJ"""
"""21""";21/01/2014;"""2""";"""ENGESSADO/ IS THIS LOVE""";"""Publicitária""";"""15/01/2014 a 21/01/2014""";"""Zulu Filmes Ltda.""";"""SP""";""" -""";""" -""";"""Brasileira""";"""SP"""
"""22""";21/01/2014;"""19""";"""UHD TV""";"""Publicitária""";"""21/01/2014 a 21/02/2014""";"""Zohar Cinema e Comunicação Ltda""";"""RJ""";"""Keystone Films""";"""França""";"""Estrangeira""";"""AM/RJ"""
"""23""";23/01/2014;"""4""";"""PROGRAMA 60 MINUTES""";"""Documentário""";"""14/02/2014 a 28/02/2014""";"""Neon Rio Ltda""";"""RJ""";"""Nine Network Australia""";"""Austrália""";"""Estrangeira""";"""RJ"""
"""24""";23/01/2014;"""2""";"""DER MAINZER STADTSCHREIBER""";"""Documentário""";"""14/02/2014 a 25/02/2014""";"""Sol Entertainment Ltda""";"""RJ""";"""Zweites Deutsches Fernsehen""";"""Alemanha""";"""Estrangeira""";"""PA"""
"""25""";24/01/2014;"""1""";"""DESERTO""";"""Ficção""";"""27/01/2014 a 08/03/2014""";"""Bananeira Filmes Ltda""";"""RJ""";""" -""";""" -""";"""Brasileira""";"""PB"""
"""26""";27/01/2014;"""4""";"""PLANET UFO""";"""Documentário""";"""16/02/2014 a 4/03/2014""";"""Brian M. Sewell Produções Cinematográficas""";"""RJ""";"""Pioneer Productions""";"""Reino Unido""";"""Estrangeira""";"""DF/ PA/ SP"""
"""27""";27/01/2014;"""2""";"""FISHING ADVENTURER / MORDU DE LA PÊCHE""";"""Documentário""";"""16/02/2014 a 07/03/2014""";"""Francisco Ferreira Pinto Filho (Amazon Film Productions)""";"""AM""";"""Fishing Adventurer Productions 4 Inc.""";"""Canadá""";"""Estrangeira""";"""AM"""
"""28""";28/01/2014;"""1""";"""LIFESAVER""";"""Publicitária""";"""06/02/2014 a 17/02/2014""";"""Paranoid Brasil Ltda""";"""SP""";""" -""";""" -""";"""Brasileira""";"""RJ"""
"""29""";29/01/2014;"""2""";"""EIN REISE MIT EINEM STUTTGARTER KABARETTISTEN, DER IN BRASILIEN GEBOREN IST""";"""Documentário""";"""16/02/2014 a 16/03/2014""";"""Sol Entertainment Ltda""";"""RJ""";"""Südwestrundfunk""";"""Alemanha""";"""Estrangeira""";"""AM/MG/PE/RS/SP"""
"""30""";29/01/2014;"""2""";"""WATIKINS GROUP""";"""Documentário""";"""07/03/2014 a 13/03/2014""";"""Aura Filme Produções Ltda""";"""RJ""";"""BenchMark Incentives""";"""Alemanha""";"""Estrangeira""";"""RJ"""
"""31""";30/01/2014;"""2""";"""IBEROSTAR RESORTS""";"""Publicitária""";"""13/02/2014 a 24/02/2014""";"""Davies & Luzzi Ltda/ME""";"""SP""";"""Cuba Film Productions""";"""Canadá""";"""Estrangeira""";"""AM/MG"""
"""32""";30/01/2014;"""12""";"""CAIPIRINHA SUNRISE""";"""Ficção""";"""14/02/2014 a 03/04/2014""";"""Tambellini Filmes""";"""RJ""";"""Redrum S.A de C.V.""";"""México""";"""Estrangeira""";"""RJ/SP"""
"""33""";30/01/2014;"""7""";"""SEKAI NIHONJIN TSUMA WA MITA - O MUNDO SEGUNDO AS JAPONESAS""";"""Documentário""";"""06/02/2014 a 09/03/2014""";"""Xes Projetos Visuais Ltda""";"""SP""";"""IVS Television Corporation""";"""Japão""";"""Estrangeira""";"""RJ/SP"""
"""34""";03/12/2014;"""5""";"""ING WK (THE PRODUCTION)""";"""Publicitária""";"""11/02/2014 a 22/02/2014""";"""CaradeCão Produções Ltda""";"""RJ""";"""Brenninkmeijer & Isaacs BV""";"""Holanda""";"""Estrangeira""";"""RJ"""
"""35""";05/02/2014;"""3""";"""FOOT & BRAIN - O BRASIL NA COPA 2014""";"""Documentário""";"""13/02/2014 a 25/02/2014""";"""Xes Projetos Visuais Ltda""";"""SP""";"""Tv Tokyo Holdings Corporation""";"""Japão""";"""Estrangeira""";"""RJ"""
"""36""";05/02/2014;"""3""";"""NHK ESPECIAL - O FUTURO DA ENERGIA DOS PAÍSES EMERGENTES""";"""Documentário""";"""20/03/2014 a 09/04/2014""";"""Xes Projetos Visuais Ltda""";"""SP""";"""NHK - Japan Broadcasting Corporation""";"""Japão""";"""Estrangeira""";"""ES/RJ/SP"""
"""37""";05/02/2014;"""5""";"""SEKAI ITTEMITARA HONTO HÁ KONNA TOKO DATTA!? - BRASIL PARTE I""";"""Documentário""";"""27/02/2014 a 20/03/2014""";"""BDT Planejamento e Comunicação Ltda""";"""SP""";"""TvBox Inc.""";"""Japão""";"""Estrangeira""";"""MG/MS/MT/PA/PR/RN/RJ/SP"""
"""38""";07/02/2014;"""2""";"""LIEVEN VAN BAELEN""";"""Publicitária""";"""15/02/2014 a 21/02/2014""";"""Sol Entertainment Ltda""";"""RJ""";"""Lander Engels""";"""Bélgica""";"""Estrangeira""";"""RJ"""
"""39""";07/02/2014;"""6""";"""BITTE MELDE DICH""";"""Documentário""";"""21/02/2014 a 04/03/2014""";"""Aura Filme Produções Ltda""";"""RJ""";"""Endemol Deutschland GmbH""";"""Alemanha""";"""Estrangeira""";"""RJ/RS"""
"""40""";07/02/2014;"""22""";"""LILYHAMMER 3""";"""Ficção""";"""06/03/2014 a 19/03/2014""";"""Goritizia Filmes Ltda""";"""RJ""";"""Rubicon Tv As""";"""Noruega""";"""Estrangeira""";"""RJ"""
"""41""";10/02/2014;"""2""";"""NZZ FORMAT""";"""Documentário""";"""03/03/2014 a 14/03/2014""";"""Utopia Films Produção Artística Ltda""";"""RJ""";"""Neu Zurcher Zeiting""";"""Suíça""";"""Estrangeira""";"""RJ"""
"""42""";INUTILIZADO;"""""";"""""";"""""";"""""";"""""";"""""";"""""";"""""";"""""";""""""
"""43""";10/02/2014;"""8""";"""TRIP FLIP""";"""Documentário""";"""24/02/2014 a 01/03/2014""";"""Brian M. Sewell Produções Cinematográficas""";"""RJ""";"""High Noon Productions LLC""";"""EUA""";"""Estrangeira""";"""RJ"""
"""44""";10/02/2014;"""3""";"""THE WORLD FROM ABOVE - BRAZIL""";"""Documentário""";"""25/02/2014 a 08/03/2014""";"""Mango Films Brasil Ltda""";"""SP""";"""Skyworks Ltd.""";"""Reino Unido""";"""Estrangeira""";"""DF/MG/PR/RJ/SP"""
"""45""";11/02/2014;"""1""";"""CONVOCAÇÃO""";"""Publicitária""";"""16/02/2014 a 26/03/2014""";"""Videographica Serviços e Participações Ltda.""";"""SP""";""" -""";""" -""";"""Brasileira""";"""SP"""
"""46""";12/02/2014;"""11""";"""KANDIDAT - REMA 1000""";"""Publicitária""";"""22/02/2014 a 20/03/2014""";"""Ocean Produção de Filmes Ltda""";"""SC""";"""Kandidat""";"""Noruega""";"""Estrangeira""";"""RJ"""
"""47""";12/02/2014;"""3""";"""BMW SÃO PAULO""";"""Publicitária""";"""01/03/2014 a 30/03/2014""";"""Ocean Produção de Filmes Ltda""";"""SC""";"""Radical Media""";"""Alemanha""";"""Estrangeira""";"""SP"""
"""48""";12/02/2014;"""2""";"""HOUSE HUNTERS SÃO PAULO""";"""Documentário""";"""04/03/2014 a 10/03/2014 """;"""Mango Films Brasil Ltda""";"""SP""";"""Leopard Films USA""";"""EUA""";"""Estrangeira""";"""SP"""
"""49""";13/02/2014;"""20""";"""TA BOM""";"""Documentário""";"""26/02/2014 a 16/03/2014""";"""HK Brasil Produtora Midia & Eventos Ltda""";"""SP""";"""PAM Media Co., Ltd""";"""Coréia do Sul""";"""Estrangeira""";"""PR/RJ/RS/SP"""
"""50""";17/02/2014;"""6""";"""FRANK IN BRAZIL""";"""Documentário""";"""24/02/2014 a 05/04/2014""";"""Neon Rio Ltda""";"""RJ""";"""Molinos De Papel Producciones""";"""Espanha""";"""Estrangeira""";"""AM"""
"""51""";17/02/2014;"""3""";"""AS SETE MARAVILHAS DO BRASIL""";"""Documentário""";"""23/02/2014 a 28/03/2014""";"""Viva Filmes Ltda""";"""RJ""";"""Crescent Films""";"""Reino Unido""";"""Estrangeira""";"""AM/MG/RJ/SP"""
"""52""";17/02/2014;"""1""";"""COPA DO MUNDO 2014""";"""Documentário""";"""23/02/2014 a 01/08/2014""";"""Sol Entertainment Ltda""";"""RJ""";"""Zweites Deutsches Fernsehen""";"""Alemanha""";"""Estrangeira""";"""AM/CE/DF/MT/MG/PR/PE/RJ/RN/RS/SP"""
"""53""";18/02/2014;"""4""";"""MC DONALDS""";"""Publicitária""";"""05/03/2014 a 31/03/2014""";"""Planeta Film Ltda""";"""SP""";"""Smuggler""";"""EUA""";"""Estrangeira""";"""RJ"""
"""54""";18/02/2014;"""2""";"""SMS GERMANY - PRODUCTION PLANTS IN BRAZIL""";"""Documentário""";"""09/03/2014 a 02/04/2014""";"""Aura Filme Produções Ltda""";"""RJ""";"""Bachhausen Visual Production GmbH & Co. KG""";"""Alemanha""";"""Estrangeira""";"""MG/PR/SP"""
"""55""";18/02/2014;"""5""";"""SEKAI ITTEMITARA HONTO HA KONNA TOKO DATTA!? - BRASIL PARTE II""";"""Documentário""";"""06/03/2014 a 17/03/2014""";"""BDT Planejamento e Comunicação Ltda""";"""SP""";"""TvBox Inc.""";"""Japão""";"""Estrangeira""";"""PA/PE/PR/RJ/RN/SP"""
"""56""";18/02/2014;"""4""";""",, DIE REIMANNS À KONNY'S WM CHECK""""";"""Documentário""";"""05/03/2014 a 16/03/2014""";"""Sol Entertainment Ltda""";"""RJ""";"""Constantin Entertainment GmbH""";"""Alemanha""";"""Estrangeira""";"""BA/RJ"""
"""57""";18/02/2014;"""2""";"""TOUR DE BRASIL 2""";"""Documentário""";"""19/03/2014 a 03/04/2014""";"""Sol Entertainment Ltda""";"""RJ""";"""Südwestrundfunk""";"""Alemanha""";"""Estrangeira""";"""BA/RJ"""
"""58""";18/02/2014;"""2""";"""CULTURA E FUTEBOL NO BRASIL""";"""Documentário""";"""06/03/2014 a 12/03/2014""";"""Neon Rio Ltda""";"""RJ""";"""Manoto 1/ Marjan TV""";"""Reino Unido""";"""Estrangeira""";"""BA/RJ/SP"""
"""59""";19/02/2014;"""4""";"""ADIDAS SAMBA TOUR""";"""Documentário""";"""22/02/2014 a 28/02/2014""";"""Sol Entertainment Ltda""";"""RJ""";"""ARL HVH Films""";"""França""";"""Estrangeira""";"""RJ"""
"""60""";20/02/2014;"""2""";"""GOL TRIP""";"""Publicitária""";"""14/03/2014 a 20/03/2014""";"""JKR Produções Artísticas Ltda""";"""RJ""";"""Believe Media""";"""EUA""";"""Estrangeira""";"""RJ"""
"""61""";20/02/2014;"""2""";"""TELEVISA WITH MONTSERRAT""";"""Documentário""";"""10/03/2014 a 30/03/2014""";"""Nation & Nação Produções Artísticas Ltda. ME""";"""SP""";"""Televisa""";"""México""";"""Estrangeira""";"""AM/CE/RJ/SP"""
"""62""";20/02/2014;"""3""";"""SHELL INTERNATIONAL """;"""Documentário Institucional""";"""27/02/2014 a 20/05/2014""";"""Utopia Films Produção Artística Ltda""";"""RJ""";"""DSP Ltd.""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""63""";20/02/2014;"""8""";"""STRONGBOW""";"""Publicitária""";"""23/02/2014 a 28/02/2014""";"""Mango Films Brasil Ltda""";"""SP""";"""Contented Digital Media""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""64""";21/02/2014;"""4""";"""LIEFDE OP Z'N ZUID AMERIKAANS""";"""Documentário""";"""10/03/2014 a 18/03/2014""";"""L&P Produção de Filmes e Vídeo Ltda""";"""BA""";"""Beeman Productions""";"""Nicarágua""";"""Estrangeira""";"""BA"""
"""65""";25/02/2014;"""2""";"""SCIENCE MYSTERY""";"""Documentário""";"""28/02/2014 a 20/03/2014""";"""Town Network Filmagens Ltda""";"""SP""";"""Oi Corporation Ltd.""";"""Japão""";"""Estrangeira""";"""CE"""
"""66""";25/02/2014;"""4""";"""THIS MORNING""";"""Documentário""";"""16/03/2014 a 24/03/2014""";"""Utopia Films Produção Artística Ltda""";"""RJ""";"""ITV Studios Limited""";"""Reino Unido""";"""Estrangeira""";"""PR/RJ"""
"""67""";26/02/2014;"""1""";"""SUPERSPORT WORLD CUP""";"""Publicitária""";"""05/03/2014 a 09/03/2014""";"""Utopia Films Produção Artística Ltda""";"""RJ""";"""Seven Films""";"""África do Sul""";"""Estrangeira""";"""RJ"""
"""68""";26/02/2014;"""5""";"""GURUTO BRASIL 5500KM PELAS CIDADES PORTUÁRIAS BRASILEIRAS""";"""Documentário""";"""08/03/2014 a 06/05/2014""";"""Xes Projetos Visuais Ltda""";"""SP""";"""Temjin Co. Ltd.""";"""Japão""";"""Estrangeira""";"""AL/AM/BA/CE/ES/MA/PA/PE/RJ"""
"""69""";27/02/2014;"""3""";"""24 HOURS IN RIO""";"""Publicitária""";"""16/02/2014 a 05/03/2014""";"""Ocean Produção de Filmes Ltda""";"""SC""";"""Blur Producciones S.L.""";"""Espanha""";"""Estrangeira""";"""RJ"""
"""70""";27/02/2014;"""5""";"""NEWS PROGRAM FROM BRAZIL""";"""Documentário""";"""17/03/2014 a 06/04/2014""";"""Sol Entertainment Ltda""";"""RJ""";"""Danish Broadcasting Corp. (DR)""";"""Dinamarca""";"""Estrangeira""";"""BA/DF/RJ"""
"""71""";27/02/2014;"""5""";"""HITACHI PV""";"""Cobertura de Evento""";"""09/03/2014 a 16/03/2014""";"""WaSabi JB Comunicação Ltda""";"""RJ""";"""Max Contact Co. Ltd.""";"""Japão""";"""Estrangeira""";"""SP"""
"""72""";28/02/2014;"""36""";"""LEI DA SELVA""";"""Reality Show""";"""10/03/2014 a 27/03/2014""";"""HK Brasil Produtora Midia & Eventos Ltda""";"""SP""";"""SBS - Seoul Broadcasting System""";"""Coréia do Sul""";"""Estrangeira""";"""AM/MA/MS/SP"""
"""73""";05/03/2014;"""1""";"""VIAGEM GASTRONÔMICA""";"""Documentário""";"""13/03/2014 a 30/05/2014""";"""Ioio Produções Cinematográficas Eireli""";"""SP""";""" -""";""" -""";"""Brasileira""";"""AM/BA/CE/DF/MT/PA/RN/RS/SP"""
"""74""";05/03/2014;"""4""";"""BACK TO BEAUTIFUL""";"""Documentário""";"""10/03/2014 a 02/04/2014""";"""Neon Rio Ltda""";"""RJ""";"""Gundog Media Limited.""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""75""";05/03/2014;"""2""";"""BRUXELLES-RIO EXPRESS""";"""Documentário""";"""25/03/2014 a 03/04/2014""";"""Sol Entertainment Ltda""";"""RJ""";"""RTL-TVI""";"""Bélgica""";"""Estrangeira""";"""RJ"""
"""76""";07/03/2014;"""1""";"""NOTÍCIA QUE SE ESPALHA""";"""Publicitária""";"""06/06/2014 a 09/06/2014""";"""Matrec Produções Cinematográficas Ltda.""";"""SP""";""" -""";""" -""";"""Brasileira""";"""SP"""
"""77""";07/03/2014;"""1""";"""BBC WORL CUP""";"""Institucional""";"""16/03/2014 a 23/03/2014""";"""Mr. Pixel Filmes Ltda.""";"""SP""";"""Red Bee Media Limited""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""78""";10/03/2014;"""2""";"""SKY MOVIES RIO 2 TV""";"""Documentário""";"""16/03/2014 a 18/03/2014""";"""AVIVA - Serviços de Produção Cinematográfica e Videofonográfica Ltda.""";"""PA""";"""Global Media Desk""";"""EUA""";"""Estrangeira""";"""AM"""
"""79""";10/03/2014;"""2""";"""MILK""";"""Documentário""";"""25/03/2014 a 23/04/2014""";"""Sol Entertainment Ltda""";"""RJ""";"""2221607 Ontario Limited""";"""Canadá""";"""Estrangeira""";"""DF/GO/PA/SP"""
"""80""";10/03/2014;"""2""";"""OS MISTÉRIOS DA AMAZÔNIA""";"""Documentário""";"""18/03/2014 a 20/04/2014""";"""Urutau Filmes Ltda""";"""SP""";"""NHK - Nippon Hoso Kyokai""";"""Japão""";"""Estrangeira""";"""AM/AP/RO"""
"""81""";10/03/2014;"""2""";""",, THE HUMAN TOUCH'' (WT)""";"""Documentário""";"""31/03/2014 a 06/04/2014""";"""Sol Entertainment Ltda""";"""RJ""";"""Filmpunkt GmbH""";"""Alemanha""";"""Estrangeira""";"""MG/SP"""
"""82""";11/03/2014;"""4""";"""URBAN AMAZONE""";"""Documentário""";"""15/03/2014 a 25/03/2014""";"""Jorge Felipe Henry""";"""SP""";"""Berenice Production""";"""França""";"""Estrangeira""";"""SP"""
"""83""";12/03/2014;"""5""";"""THE OTHER WORLD CUP""";"""Documentário""";"""23/03/2014 a 07/04/2014""";"""Union Filmes Ltda""";"""PR""";"""Watershed TV""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""84""";12/03/2014;"""3""";"""MOBOROSHI NO SOKOKU BRASIL""";"""Documentário""";"""28/03/2014 a 25/05/2014""";"""Town Network Filmagens Ltda""";"""SP""";"""Temjin TV Production""";"""Japão""";"""Estrangeira""";"""PR/SP"""
"""85""";12/03/2014;"""8""";"""SAKARA IN BRAZIL: THE ORIGIN OF MMA""";"""Documentário""";"""20/03/2014 a 20/04/2014""";"""Cinema Contágio Produção Audiovisual Ltda""";"""RJ""";"""Red Carpet Sport & Management""";"""Itália""";"""Estrangeira""";"""RJ"""
"""86""";13/03/2014;"""6""";"""LUGARES VAZIOS""";"""Publicitária""";"""18/03/2014 a 18/04/2014""";"""Paranoid Brasil Ltda""";"""SP""";""" -""";""" -""";"""Brasileira""";"""SP"""
"""87""";14/03/2014;"""5""";"""MAYA JAMA'S WORLD CUP CITIES""";"""Documentário""";"""16/03/2014 a 14/04/2014""";"""Big Bonsai Brasilis Ltda.""";"""SP""";"""Big Balls Films""";"""Reino Unido""";"""Estrangeira""";"""AM/CE/DF/MS/MG/PR/PE/RJ/RN/RS/SP"""
"""88""";14/03/2014;"""4""";"""WORLD CUP BRAZIL""";"""Publicitária""";"""08/04/2014 a 20/04/2014""";"""JKR Produções Artísticas Ltda""";"""RJ""";"""Caviar Amsterdan""";"""Holanda""";"""Estrangeira""";"""RJ"""
"""89""";14/03/2014;"""1""";"""DUETO""";"""Publicitária""";"""02/04/2014 a 28/04/2014""";"""Paranoid Brasil Ltda""";"""SP""";""" -""";""" -""";"""Brasileira""";"""SP"""
"""90""";17/03/2014;"""4""";"""KUMON GLOBAL""";"""Institucional""";"""06/04/2014 a 13/04/2014""";"""Master Cine Vídeo Ltda""";"""SP""";"""FIX Co., Ltd..""";"""Japão""";"""Estrangeira""";"""SP"""
"""91""";17/03/2014;"""3""";"""BAH""";"""Publicitária""";"""20/03/2014 a 10/04/2014""";"""Ocean Produção de Filmes Ltda""";"""SC""";"""Filmagaus Wien Universa GmbH""";"""Alemanha""";"""Estrangeira""";"""RJ"""
"""92""";17/03/2014;"""7""";"""N&A""";"""Reality Show""";"""11/05/2014 a 07/06/2014""";"""Neon Rio Ltda""";"""RJ""";"""Battle Beat Productions""";"""EUA""";"""Estrangeira""";"""MA"""
"""93""";17/03/2014;"""4""";"""SAMSUNG SOCCER""";"""Publicitária""";"""16/04/2014 a 26/04/2014""";"""Ricardo Gonçalves Produções Cinematográficas""";"""SP""";"""Vagabond Films""";"""EUA""";"""Estrangeira""";"""RJ"""
"""94""";17/03/2014;"""3""";"""SEKAINO KAIDOU O YUKU""";"""Documentário""";"""30/03/2014 a 23/04/2014""";"""Urutau Filmes Ltda""";"""SP""";"""Telecom Staff Inc.""";"""Japão""";"""Estrangeira""";"""DF/MG/RJ/SP"""
"""95""";18/03/2014;"""3""";"""SCHOOL LIKE NO OTHERS""";"""Documentário""";"""04/04/2014 a 09/04/2014""";"""Utopia Films Produção Artística Ltda""";"""RJ""";"""Eureka Productions""";"""Canadá""";"""Estrangeira""";"""SP"""
"""96""";18/03/2014;"""2""";"""SISGRAPH""";"""Institucional""";"""27/03/2014 a 06/04/2014""";"""Ricardo Gonçalves Produções Cinematográficas""";"""SP""";"""Cramer Productions Inc""";"""EUA""";"""Estrangeira""";"""RJ"""
"""97""";18/03/2014;"""20""";"""ESPEDIÇÃO PELA SNS, PRIMEIRA PARTE: BRASIL""";"""Reality Show""";"""25/03/2014 a 09/04/2014""";"""Aura Filme Produções Ltda""";"""RJ""";"""SBS""";"""Coréia do Sul""";"""Estrangeira""";"""AM/BA/PR/RJ/RS/SP"""
"""98""";19/03/2014;"""3""";""",,HALLO DEUTSCHLAND - AUTNAH BRASILIEN""""";"""Documentário""";"""25/03/2014 a 10/04/2014""";"""Aura Filme Produções Ltda""";"""RJ""";"""ZDF - Zweites Deutsches Fernsehen""";"""Alemanha""";"""Estrangeira""";"""BA/PE/RJ"""
"""99""";20/03/2014;"""8""";"""BACH NO BRASIL""";"""Ficção""";"""30/03/2014 a 05/06/2014""";"""Conspiração Filmes Entretenimento 3º Milênio Ltda.""";"""RJ""";"""Forseesense""";"""Alemanha""";"""Estrangeira""";"""MG"""
"""100""";20/03/2014;"""1""";"""TEMPLO DAS EMOÇÕES - O ESTÁGIO DO MARACANÃ NO RIO DE JANEIRO""";"""Documentário""";"""05/04/2014 a 05/07/2014""";"""Tambke Filmes Ltda (Plural Filmes)""";"""RJ""";"""Bildersturn Filmproduktion GmbH""";"""Alemanha""";"""Estrangeira""";"""RJ"""
"""101""";21/03/2014;"""4""";"""ASAHI GLASS NOS ESTÁDIOS BRASILEIROS""";"""Documentário""";"""20/04/2014 a 15/07/2014""";"""Town Network Filmagens Ltda""";"""SP""";"""NHK Global Media Services, Inc.""";"""Japão""";"""Estrangeira""";"""RJ/SP"""
"""102""";21/03/2014;"""3""";"""BEING GEORGE CLOONEY""";"""Documentário""";"""29/03/2014 a 11/04/2014""";"""FSR Produções Artísticas Ltda""";"""RJ""";"""Gravitas Docufilms""";"""EUA""";"""Estrangeira""";"""RJ"""
